"","UserID","AGE","FOAvgStake","LAAvgStake","FOAvgTotalWinnings","LAAvgTotalWinnings","FOTotalActiveDays","LATotalActiveDays","Gender","Recency_bet_sportsFO","Recency_bet_sportsLA","Continent"
"33486",1388655,19,4.845238,2.995,3.701905,0,18,8,"Male",195,205,"Europe"
"33487",1388657,34,25,0,0,0,37,0,"Male",182,0,"Europe"
"33488",1388660,47,1.421375,0,1.268508,0,217,0,"Male",2,0,"Europe"
"33489",1388661,37,6.447368,10,6.113158,7.333333,72,41,"Male",135,164,"Europe"
"33490",1388662,42,1.208967,1,1.146236,0,83,7,"Male",109,174,"Europe"
"33491",1388663,44,11.42857,7.416667,7.071429,1.625,5,5,"Male",214,214,"Europe"
"33492",1388665,33,1.623448,0,1.14069,0,99,0,"Male",115,0,"Europe"
"33493",1388666,26,8.126293,2.246363,4.923524,1.771683,210,21,"Male",7,181,"Asia"
"33494",1388670,19,6,3.594063,7,3.224375,1,1,"Male",214,214,"Europe"
"33495",1388671,27,8.295455,0,3.75,0,33,0,"Male",157,0,"Europe"
"33496",1388672,31,2.123158,1.477052,1.676933,1.439597,213,209,"Male",1,5,"Europe"
"33497",1388675,56,5.494131,5.59375,5.702042,3.733203,212,146,"Male",1,2,"Europe"
"33498",1388676,24,2.555802,0.8233333,2.375062,0.4855556,70,51,"Male",149,166,"Europe"
"33499",1388677,41,9.25,0,10.65,0,10,0,"Female",204,0,"Europe"
"33500",1388678,39,1.405714,0,0.9295238,0,40,0,"Male",174,0,"Europe"
"33501",1388679,45,1.900652,6.279437,1.471413,7.243803,94,88,"Female",125,124,"Europe"
"33502",1388682,20,34.46834,0,34.46654,0,14,0,"Male",205,0,"Europe"
"33503",1388683,33,4.405556,0,3.294444,0,53,0,"Male",160,0,"Europe"
"33504",1388687,23,1.642176,1.174766,1.386579,1.115462,217,215,"Male",2,3,"Europe"
"33505",1388689,21,1.9347,1.34225,0.9585,0.939575,50,0,"Male",169,175,"Europe"
"33506",1388690,27,1.699344,12.95,1.801366,13.245,196,2,"Male",14,25,"Europe"
"33507",1388691,38,10,0,0,0,0,0,"Male",219,0,"Europe"
"33508",1388694,45,4.847619,2.945,4.079048,1.468333,186,71,"Male",28,138,"Europe"
"33509",1388698,47,20,0,0,0,0,0,"Male",219,0,"Europe"
"33510",1388699,26,2.39178,0,1.461811,0,76,0,"Male",143,0,"Asia"
"33511",1388701,40,16.48132,0,13.60026,0,191,0,"Male",24,0,"Europe"
"33512",1388703,42,1.882323,0,1.089726,0,218,0,"Male",1,0,"Asia"
"33513",1388704,24,4.375,0,0,0,0,0,"Male",219,0,"Europe"
"33514",1388705,31,7.368085,5.001667,4.270426,4.266667,209,185,"Male",10,14,"Europe"
"33515",1388708,26,1.805226,1.4364,1.613992,0.9893333,90,27,"Male",129,192,"Europe"
"33516",1388709,44,16.62906,11.58701,15.05208,12.51954,25,52,"Male",194,164,"Europe"
"33517",1388713,26,4.9375,3,0,0,199,0,"Female",20,200,"Europe"
"33518",1388714,28,2.241454,0,1.371586,0,205,0,"Male",14,0,"Europe"
"33519",1388715,38,1.956522,0,0.295,0,212,0,"Male",7,0,"Europe"
